Z_slice,neuron_id,GlyT2_synapse_count,Gephyrin_synapse_count
65,15,18,0
65,16,81,29
65,17,65,11
65,18,5,0
65,19,34,12
65,20,0,0
65,21,0,0
65,22,0,0
65,23,220,86
65,24,0,0
65,25,55,16
65,26,23,47
65,27,4,6
65,28,2,1
65,29,7,6
65,30,57,33
65,31,9,6
65,32,14,1
65,33,45,32
65,34,29,14
65,35,14,6
65,36,29,2
65,37,10,3
65,38,47,30
65,39,0,0
65,40,0,0
65,41,0,0
65,42,107,7
65,43,0,0
65,44,0,0
65,45,29,7
65,46,0,0
65,47,0,0
65,48,0,0
65,49,0,0
66,1,38,47
66,2,75,61
66,3,56,0
66,4,76,59
66,5,0,0
66,6,165,59
66,7,241,65
66,8,111,47
66,9,17,0
66,10,0,0
66,11,0,0
66,12,0,0
66,13,61,11
66,14,20,54
66,15,6,2
66,16,7,5
66,17,36,39
66,18,17,13
66,19,36,30
66,20,132,30
66,21,126,13
66,22,0,0
66,23,50,6
66,24,1,0
66,25,0,0
66,26,0,0
66,27,0,0
66,28,0,0
66,29,0,0
67,1,0,0
67,2,0,0
67,3,42,104
67,4,101,79
67,5,90,21
67,6,0,0
67,7,10,8
67,8,7,4
67,9,241,75
67,10,62,23
67,11,61,29
67,12,10,0
67,13,0,0
67,14,0,0
67,15,12,32
67,16,0,2
67,17,3,8
67,18,8,7
67,19,43,39
67,20,7,7
67,21,38,53
67,22,0,0
67,23,0,0
67,24,137,9
67,25,0,0
67,26,0,0
67,27,0,0
68,1,0,0
68,2,0,0
68,3,0,0
68,4,0,0
68,5,34,91
68,6,49,44
68,7,0,0
68,8,56,56
68,9,29,8
68,10,11,13
68,11,0,2
68,12,228,72
68,13,1,3
68,14,45,21
68,15,7,1
68,16,1,0
68,17,65,21
68,18,0,0
68,19,13,0
68,20,0,0
68,21,0,0
68,22,0,0
68,23,0,0
68,24,17,36
68,25,1,1
68,26,10,6
68,27,11,9
68,28,49,35
68,29,12,11
68,30,77,31
68,31,114,8
68,32,0,0
69,1,0,0
69,2,0,0
69,3,0,0
69,4,29,99
69,5,88,89
69,6,0,0
69,7,34,7
69,8,0,0
69,9,116,32
69,10,15,19
69,11,101,59
69,12,84,28
69,13,47,18
69,14,1,0
69,15,192,65
69,16,53,26
69,17,0,0
69,18,20,3
69,19,0,0
69,20,0,0
69,21,0,0
69,22,0,0
69,23,0,0
69,24,21,9
69,25,0,0
69,26,0,0
69,27,32,41
69,28,17,11
69,29,18,29
69,30,6,5
69,31,44,20
69,32,0,0
69,33,0,0
69,34,110,13
69,35,0,0
69,36,0,0
70,1,0,0
70,2,0,0
70,3,34,4
70,4,0,0
70,5,15,24
70,6,98,59
70,7,84,30
70,8,59,21
70,9,160,80
70,10,40,28
70,11,11,2
70,12,0,0
70,13,0,0
70,14,0,0
70,15,0,0
70,16,0,0
70,17,106,74
70,18,16,12
70,19,0,0
70,20,0,0
70,21,0,0
