Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
316,132,17.75,0.0,2343,6.045,0.0,798
317,124,14.839,0.0,1840,9.298,0.0,1153
318,104,12.048,0.0,1253,6.74,0.0,701
319,110,14.464,0.0,1591,5.536,0.0,609
320,118,21.975,0.0,2593,13.568,0.0,1601
321,127,11.567,0.0,1469,13.764,0.0,1748
322,134,7.224,0.0,968,9.485,0.0,1271
323,123,9.61,0.0,1182,12.675,0.0,1559
324,118,10.881,0.0,1284,13.669,0.0,1613
325,138,9.551,0.0,1318,13.435,0.0,1854
326,130,16.038,0.0,2085,11.0,0.0,1430
327,117,8.966,0.0,1049,10.026,0.0,1173
328,111,10.505,0.0,1166,15.261,0.0,1694
329,109,12.908,0.0,1407,16.633,0.0,1813
330,91,5.571,0.0,507,13.22,0.0,1203
331,96,15.948,0.0,1531,13.125,0.0,1260
332,114,18.43,0.0,2101,7.763,0.0,885
333,111,12.694,0.0,1409,9.676,0.0,1074
334,113,9.664,0.0,1092,12.027,0.0,1359
335,132,10.947,0.0,1445,15.083,0.0,1991
336,113,7.77,0.0,878,16.965,0.0,1917
337,120,11.542,0.0,1385,18.508,0.0,2221
338,110,8.964,0.0,986,15.964,0.0,1756
339,97,7.443,0.0,722,17.763,0.0,1723
340,113,6.035,0.0,682,18.23,0.0,2060
341,103,9.816,0.0,1011,18.767,0.0,1933
342,122,9.197,0.0,1122,16.262,0.0,1984
343,121,7.686,0.0,930,17.488,0.0,2116
344,134,13.306,0.0,1783,16.813,0.0,2253
345,146,16.596,0.0,2423,17.74,0.0,2590
346,137,6.934,0.0,950,19.818,0.0,2715
347,158,5.778,0.0,913,16.285,0.0,2573
348,156,4.064,0.0,634,14.442,0.0,2253
349,150,4.573,0.0,686,11.953,0.0,1793
350,156,1.949,0.0,304,13.205,0.0,2060
351,165,5.509,0.0,909,13.2,0.0,2178
352,152,11.197,0.0,1702,16.237,0.0,2468
353,145,9.434,0.0,1368,16.917,0.0,2453
354,163,6.988,0.0,1139,11.828,0.0,1928
355,173,5.792,0.0,1002,12.925,0.0,2236
356,164,4.244,0.0,696,11.982,0.0,1965
357,145,5.193,0.0,753,12.097,0.0,1754
358,150,3.767,0.0,565,11.967,0.0,1795
359,140,5.864,0.0,821,10.679,0.0,1495
360,121,9.364,0.0,1133,19.843,0.0,2401
361,122,6.869,0.0,838,18.844,0.0,2299
362,110,6.564,0.0,722,16.891,0.0,1858
363,117,9.051,0.0,1059,16.684,0.0,1952
364,119,4.412,0.0,525,13.824,0.0,1645
365,115,1.696,0.0,195,14.643,0.0,1684
366,125,8.256,0.0,1032,20.872,0.0,2609
367,125,6.944,0.0,868,18.544,0.0,2318
368,127,5.622,0.0,714,18.646,0.0,2368
369,112,5.411,0.0,606,15.964,0.0,1788
370,118,1.653,0.0,195,14.203,0.0,1676
371,118,9.119,0.0,1076,9.949,0.0,1174
372,106,10.142,0.0,1075,11.943,0.0,1266
373,98,8.867,0.0,869,9.235,0.0,905
374,106,8.462,0.0,897,14.858,0.0,1575
375,108,3.5,0.0,378,15.139,0.0,1635
376,114,11.237,0.0,1281,15.684,0.0,1788
377,118,14.28,0.0,1685,17.237,0.0,2034
378,134,11.537,0.0,1546,14.201,0.0,1903
